index,MT_labels,clean_tweet,final_label,raw_tweet
98,"[1, 1, 1]",ready smoke last l go smack sleep,1,"ready smoke this last L "" go smack to sleep"
99,"[1, 0, 1]",ngl miss smoking weed,1,Ngl I miss smoking weed
100,"[1, 1, 1]",just want luv weed,1,"i just want luv "" weed"
101,"[0, 0, 0]",looks dope lmfao URL,0,This looks so dope lmfao https://t.co/IsVeb2vqxC
102,"[1, 0, 1]",get blunt in,1,Get a blunt in .
103,"[1, 1, 1]",rolled blunt tight,1,Rolled the blunt to tight!!!!
104,"[1, 1, 1]",just fucking love weed,1,I just fucking love weed
105,"[1, 1, 1]",just got out work smoking blunt,1,Just got out of work smoking a blunt
106,"[1, 0, 1]",haven rolled blunt in months,1,I haven't rolled a blunt in months.
107,"[0, 0, 0]",just watched fear loathing in las vegas first time thing should on acid fully understand,0,Just watched Fear and Loathing in Las Vegas for the first time and I thing I should have been on acid to fully understand it
108,"[1, 1, 0]",pop pills smoke blunt,1,Pop these pills smoke this blunt...
109,"[0, 0, 1]",woke up because smelled weed walked outside hotel room found too short solo cheifin outside window pretty epic wake bake,0,"woke up because I smelled weed, walked outside hotel room and found Too Short, solo cheifin outside my window.  Pretty epic wake and bake."
110,"[0, 1, 1]",miss acid,1,i miss acid
111,"[0, 1, 1]",just made dope ass pancakes,1,just made dope ass pancakes
112,"[1, 1, 1]",tonedagawd best weed ever smoked,1,@ToneDaGawddd best weed I ever smoked
113,"[1, 0, 0]",spencerjthomp super dope kid adorable,0,@spencerjthomp super dope. Your kid is adorable
114,"[1, 1, 1]",love cali weed,1,I love cali weed
115,"[1, 1, 0]",blow dope URL,1,blow dope* https://t.co/A2ZHVV90bl
116,"[1, 1, 0]",wanna shmoke blunt,1,I wanna shmoke a blunt
117,"[0, 0, 0]",munchies yellow bag URL,0,Munchies (yellow bag) https://t.co/PcGkrNw1t5
118,"[1, 1, 0]",dope liquor everything,1,Dope. Liquor. Everything.
119,"[0, 0, 0]",in love pretty dope,0,Being in love is pretty dope
120,"[1, 1, 1]",love when on acid,1,Love it when we on acid
121,"[1, 1, 1]",want blunt coffee,1,I want a blunt and some coffee. Who's with me?
122,"[0, 0, 1]",looks dope honestly URL,0,This looks dope honestly https://t.co/LHjaYlLoCz
123,"[1, 1, 1]",only thing love drank weed,1,THE ONLY THING I LOVE IS MY DRANK AND WEED
124,"[0, 1, 0]",love dope boys,0,I love the dope boys
125,"[0, 0, 1]",just wanna smoke bowl rn,0,I just wanna smoke a bowl rn
126,"[1, 0, 1]",just want weed bruh,1,I just want weed bruh
127,"[1, 0, 0]",living in basement dope,0,Living in a basement is so dope
128,"[1, 1, 1]",currently smoking blunt,1,"currently smoking a blunt """
129,"[1, 0, 1]",in love w weed how,1,In love w a weed how
130,"[0, 1, 0]",hollyweed get smoke weed,0,Hollyweed we get it you smoke weed.
131,"[0, 0, 0]",just want done college get on life,0,I just want to be done with college and get on with my life!
132,"[1, 1, 1]",just tryna smoke blunt,1,Just tryna smoke this blunt.
133,"[0, 1, 0]",reggularaf u still dope though,0,@ReggularAf u still dope though
134,"[1, 1, 1]",love weed chicken,1,I love weed and chicken.
135,"[1, 1, 1]",cool place smoke blunt,1,Wheres a cool place to smoke a blunt
136,"[1, 0, 0]",going out sober dope,0,Going out and being sober so dope
137,"[1, 1, 1]",want beers blunt trev,1,I want beers and blunt and trev
138,"[0, 0, 0]",love dope show,0,Love is a dope show
139,"[0, 0, 0]",snow dope today,0,Snow was dope today
140,"[1, 0, 0]",face blunt every morning go straight work not game,0,I face a blunt every morning and go straight to work...this is NOT a game
141,"[1, 1, 1]",just smoked weed URL,1,just smoked some weed https://t.co/4fdmuRjuTY
142,"[0, 0, 0]",love dope,0,Love is dope
143,"[1, 1, 1]",lemme just go smoke blunt,1,Lemme just go smoke a blunt.
144,"[1, 0, 0]",ready get on road get in snow,0,Ready to get on the road and get in some snow
145,"[1, 0, 0]",modsun let smoke weed,0,@MODSUN let me smoke my weed!
146,"[0, 0, 0]",pot hole took down last night URL,0,The pot hole that took me down last night '. https://t.co/HYiCPqXWpo
147,"[0, 0, 0]",love dope URL,0,love is so dope https://t.co/BpiUuUoTtw
148,"[1, 1, 1]",just want go drink smoke weed,1,I just want to go have a drink and smoke some weed.
149,"[0, 1, 0]",jzac needs blow up already,0,Jzac needs to blow up already
150,"[1, 1, 1]",just need more weed,1,I just need more weed
151,"[0, 0, 0]",munchies x ready get munchies,0,Munchies x ready to get munchies
152,"[1, 1, 1]",just want smoke blunt ko,1,Just want to smoke this blunt and KO
153,"[1, 0, 1]",went run now smoking blunt,1,"Went for a run, now I'm smoking a blunt."
154,"[1, 1, 1]",free weed involved,1,Free weed is involved
155,"[1, 1, 0]",just want smoke blunt in room,1,i. just. want. to. smoke. a. blunt. in. my. room.
156,"[0, 0, 1]",dope ass friends,0,I have some dope ass friends
157,"[0, 0, 0]",got dope love,0,We got that dope love
158,"[0, 0, 1]",dope night,0,Dope Night
159,"[1, 0, 1]",stop smoking weed,1,Been stop smoking weed
160,"[1, 1, 1]",ever since acid trips like whenever get super high just start lightly hallucinating tbh creepy,1,Ever since my Acid trips like whenever I get super high I just start lightly  hallucinating and it's tbh creepy
161,"[0, 0, 0]",actually kinda dope URL,0,thats actually kinda dope https://t.co/EyJWxALOSa
162,"[0, 0, 1]",nfrealmusic want looks dope fresh,0,@nfrealmusic I WANT THAT!!!! Looks sooooo dope and fresh
163,"[1, 1, 1]",smoking blunt home much better going woods in brooksville puking on bc drank too much fireball,1,Smoking a blunt at home so much better than going to the woods in Brooksville and puking on yourself Bc you drank too much fireball
164,"[0, 1, 1]",out school ready smoke blunt,1,out of school ready to smoke this blunt
165,"[1, 0, 0]",myahop248 stop dope poppin,0,@myahop248 stop dope poppin
166,"[0, 1, 0]",love movie dope,0,I love the movie Dope
167,"[1, 0, 0]",only took accutane get high,0,"""You only took accutane to get high!"""
168,"[0, 0, 0]",smack lips when eat re disgusting probably hate,0,If you smack your lips when you eat you're disgusting and I probably hate you
169,"[0, 1, 1]",love stronger weed,1,But MY LOVE is stronger than weed
170,"[1, 1, 1]",needa go out blunt,1,"I needa go out "" a blunt"
171,"[1, 1, 1]",needa smoke blunt,1,i needa smoke a blunt
172,"[1, 0, 0]",got dope friends,0,I got dope friends
173,"[0, 1, 1]",re slinging dope bruh,1,You're slinging DOPE bruh
174,"[1, 1, 1]",seriously love smoking pot much,1,seriously love smoking pot so much
175,"[1, 1, 1]",lowkey wanna roll blunt go smoke under porch while rains swear ll stop soon go out,1,lowkey wanna roll this blunt and go smoke under the porch while I rains but I swear it'll stop as soon as I go out
176,"[1, 1, 1]",bath blunt amazing,1,That bath An blunt was AMAZING.
177,"[1, 1, 1]",love weed URL,1,i love weed https://t.co/O6W4BTkGEw
178,"[1, 1, 1]",lean in cup while rolling spliff,1,Lean in my cup ' while I'm rolling my spliff
179,"[0, 0, 0]",not class tomorrow pretty dope,0,not having class tomorrow is pretty dope
180,"[0, 0, 1]",need speed dope movie,0,Need for speed is a dope movie
181,"[0, 1, 1]",finally got weed,1,Finally got some weed
182,"[1, 1, 1]",take fentanyl go work URL,1,"If they take your fentanyl, go to work. https://t.co/O75e8Qr7yc"
183,"[1, 1, 1]",like drink try cigs smoke weed o,1,Like drink and try cigs and smoke weed o/
184,"[0, 0, 1]",friends blunt love,0,"My friends are so blunt, I love it."
185,"[0, 1, 1]",mofo smoked black up gone go smoke cigarette,1,Mofo smoked my black up then gone go smoke his cigarette...
186,"[0, 0, 0]",tomorrow gonna dope though,0,Tomorrow is gonna be dope though
187,"[1, 1, 1]",miserable just want smoke fucking blunt,1,i am so miserable i just want to smoke a fucking blunt
188,"[0, 0, 0]",xcchanelx took class dope,0,@xCchanelx I took that class!!!!! It's dope
189,"[1, 0, 1]",said all got smoke weed mom drops back off car says make sure smoke weed before dinner,1,I said all I got to do is smoke some weed and my mom drops me back off at my car and says make sure you smoke some weed then before dinner
190,"[0, 0, 0]",drunk in love dope,0,Drunk in love is dope
191,"[1, 1, 1]",need fucken blunt,1,i need a fucken blunt
192,"[0, 0, 1]",last nite dope lol,0,Last nite was dope lol
193,"[0, 0, 0]",heavy black smoke able seen quite distance URL,0,The heavy black smoke able to be seen for quite a distance https://t.co/g5jXchQA50
194,"[0, 0, 0]",hard super dope URL,0,This is haaaaard. Super dope. https://t.co/ycAjMyfT6e
195,"[1, 1, 1]",just want weed brownies,1,I just want some weed brownies
196,"[0, 0, 0]",moon looks dope right now,0,The moon looks dope right now
197,"[1, 1, 1]",ready smoke dope go get fod,1,Ready to smoke this dope and go get some fooood
198,"[1, 1, 0]",ready end days smoking blunt w loml,1,Ready to end my days smoking a blunt w/ the loml
199,"[1, 0, 1]",ready go home blunt,1,Ready to go home to that blunt
200,"[0, 0, 0]",eating alone in college pretty dope,0,Eating alone in college is pretty dope
201,"[1, 0, 1]",love lazy monday bc get leave work smoke blunt cuddle in heated blanket while watching wolf wal street,1,love lazy monday's bc i get to leave work smoke a blunt and cuddle in my heated blanket while watching wolf of walll street
202,"[1, 1, 1]",get drunk smoke weed,1,SO WHAT WE GET DRUNK? SO WHAT WE SMOKE WEED?
203,"[0, 1, 0]",show love dope shit,0,I show love to dope shit.
204,"[1, 1, 1]",just wanna go home smoke bowl,1,"i just wanna go home "" smoke a bowl"
205,"[1, 1, 1]",go smoke weed,1,Lets go smoke weed about it
206,"[1, 0, 0]",need photographer take dope pictures,0,I need a photographer to take some dope pictures of me
207,"[1, 1, 1]",buy acid,1,buy some acid
208,"[1, 1, 1]",time go smoke blunt,1,It's time to go smoke a blunt
209,"[1, 1, 1]",time after work blunt,1,Time for that after work blunt
210,"[0, 0, 0]",good afternoon just consumed entire pot coffee,0,Good afternoon I just consumed an entire pot of coffee
211,"[0, 1, 0]",okay looks pretty dope URL,0,Okay... This looks pretty dope. https://t.co/cFdfgqt2Tr
212,"[0, 1, 0]",love heroin movies,0,I love heroin movies
213,"[0, 0, 0]",would rather slip fall on black ice get hit in face snowball teampxy,0,"Would you rather slip and fall on black ice, or get hit in the face with a snowball? - #TeamPXY"
214,"[1, 0, 0]",just go smacked URL,0,Just go smacked https://t.co/DdxI7NWo1a
215,"[1, 1, 1]",imma go face blunt in central lonely cause jpoom631 not home yet,1,Imma have to go face a blunt in central by my lonely cause @jpoom631 not home yet
216,"[1, 1, 1]",just want blunt cuddles,1,i just want a blunt and some cuddles
217,"[1, 0, 1]",just mini kush blunt,1,Just me and this mini kush blunt.
218,"[1, 1, 1]",cozy friends let smoke weed,1,Cozy Friends let's smoke some weed
219,"[0, 0, 0]",just drank whole pot coffee,0,Just drank a whole pot of coffee :-/
220,"[1, 1, 1]",cirilothe2nd go smoke blunt lol,1,@cirilothe2nd go smoke a blunt lol
221,"[0, 1, 0]",just love acid reflux,0,I just love having acid reflux
222,"[0, 0, 0]",came home bullwinkles only one socks bump on head idk why keep going back go place,0,I came home from bullwinkles with only one of my socks and a bump on my head... idk why i keep going back go that place
223,"[1, 1, 1]",just need fuckin ganja,1,i just need some fuckin ganja :/
224,"[1, 1, 1]",just want blunt bed,1,I just want a blunt and my bed
225,"[1, 0, 0]",re crazy dope URL,0,You're crazy. This is so dope. https://t.co/9zv5K9rh6J
226,"[0, 0, 0]",trailer honestly kinda sick dope game,0,That trailer was honestly kinda sick. That was a dope game.
227,"[0, 0, 1]",debating walk worth blunt,0,Debating if that walk is worth the blunt
228,"[0, 0, 0]",took dope ass pictures,0,Took some dope ass pictures
229,"[1, 1, 1]",love weed lmao,1,I love weed lmaooo
230,"[1, 1, 1]",just took blunt head,1,Just took a blunt to the head
231,"[1, 1, 0]",cnnpolitics went out smoked pot,1,@CNNPolitics They went out and smoked some pot
232,"[0, 1, 0]",dope smoke,0,Dope smoke!!!!!!
233,"[0, 0, 1]",past couple days dope af,0,The past couple days have been dope af
234,"[1, 0, 0]",dope dope movie,0,Dope is such a DOPE movie
235,"[0, 1, 1]",really want go outside smoke blunt,1,Do I really want to go outside to smoke this blunt?
236,"[0, 0, 0]",dope runna dope runna dope runna,0,"dope runna, dope runna, dope runna"
237,"[1, 1, 1]",wants go walk off acid,1,Who wants to go walk off this acid
238,"[1, 0, 0]",dope wine,0,"Dope "" wine  "
239,"[1, 0, 0]",dope dope dope,0,Dope dope dope .
240,"[1, 1, 1]",go gym roll blunt,1,To go to the gym or to roll this blunt.
241,"[0, 1, 0]",really got dope friends,0,i really got some dope friends
242,"[1, 1, 1]",all want rn smoke blunt,1,All I want to do rn is smoke a blunt
243,"[0, 0, 1]",love blunt people,0,I love blunt people
244,"[0, 0, 0]",hoodies dope URL,0,That hoodies dope https://t.co/FKwI29rWgu
245,"[0, 1, 0]",kanucs re dope love tbh,0,@KANUCS you're dope and I love you tbh
246,"[1, 1, 1]",jordan milam weed hot tub,1,@Jordan_Milam weed and a hot tub?
247,"[1, 1, 1]",more weed please,1,More weed please
248,"[1, 0, 0]",busses dope guess,0,Busses are dope I guess...
249,"[1, 1, 1]",just gon roll weed,1,Just gon roll this weed
250,"[0, 0, 0]",dope dope,0,Dope. I'm so dope!
251,"[1, 1, 1]",directv isn playing fucking packer game livid rn just smoked blunt sat down pizza watch game can,1,"Directv isn't playing the fucking packer game I'm livid rn! Just smoked a blunt , sat down with my pizza to watch the game an I can't  "
252,"[0, 0, 0]",paris looks dope go URL,0,Paris looks dope lets go https://t.co/iLb3v2otzX
253,"[0, 0, 0]",last night dope lmao,0,last night was dope lmao
254,"[1, 1, 1]",just rolled trophy blunt,1,Just rolled a trophy blunt.
255,"[1, 1, 1]",first couple hours class already in need blunt,1,First couple hours of class and I'm already in need of a blunt
256,"[1, 1, 1]",down smoke blunt scoop,1,Whos down to smoke a blunt ill scoop
257,"[0, 1, 0]",dope let know,0,"if she's dope, let her know..."
258,"[1, 0, 1]",just want smoke weed go home,1,"""I just want to smoke weed and go home"""
259,"[1, 1, 1]",blunt day make pain go away,1,a blunt a day to make the pain go away
260,"[1, 1, 0]",ridn blown dope,1,Ridn blown dope
261,"[1, 1, 1]",live in city let smoke blunt,1,"If you live in my city, let's smoke a blunt."
262,"[0, 0, 1]",icy hot dope,0,Icy hot is so dope
263,"[0, 1, 1]",on acid miss fucking much,1,IM ON ACID AND I MISS YOU SO FUCKING MUCH
264,"[0, 1, 1]",ianbremmer stop heroin anyway can,1,@ianbremmer stop the heroin anyway you can
265,"[1, 1, 1]",wanna smoke xanx blunt,1,I wanna smoke a xanx blunt
266,"[0, 0, 0]",lowrider dope ass movie,0,Lowrider is about to be a dope ass movie
267,"[1, 1, 1]",next time acid ima paint,1,Next time I do Acid ima paint
268,"[1, 0, 1]",love good weed,1,I love good weed
269,"[1, 0, 0]",college actually dope,0,College is actually so dope
270,"[1, 0, 0]",see eyes dope still alive,0,"see it with my eyes, dope still alive"
271,"[0, 0, 0]",dope ass movie,0,Dope ass movie
272,"[0, 1, 0]",jonesingforjas still dope lol,0,@JonesingForJas still dope lol
273,"[0, 1, 1]",just want good weed sex,1,"I just want good weed "" sex"
274,"[0, 1, 1]",all need now blunt,1,All I need now is a blunt
275,"[0, 0, 0]",dope fiends URL,0,Dope fiends? https://t.co/jabgp1GhWc
276,"[0, 0, 0]",stardoli dope veggie burgers,0,@stardoliii they have DOPE veggie burgers
277,"[0, 0, 0]",hell yea dope stuff,0,Hell yea that's dope stuff
278,"[1, 0, 1]",just want bump get high,1,I just want to bump and get high
279,"[0, 1, 1]",jack cas like froze up got go away feel like mine more trying get dope dealer go tf away,1,@jack_casss like I froze up and it got him to go away so I feel like mine was more me trying to get a dope dealer to go tf away but that
280,"[1, 0, 1]",dstaples pass dope u r smoking,1,@dstaples pass me some of the dope u r smoking
281,"[1, 1, 1]",just going smoke blunt,1,I'm just going to smoke a blunt !!!!
282,"[1, 0, 1]",let go smoke weed,1,Let's go smoke weed about it
283,"[1, 0, 0]",g dope while,0,G has been dope for a while
284,"[1, 0, 1]",ready go home smoke blunt,1,I'm ready to go home and smoke a blunt
285,"[1, 0, 0]",much dope,0,So much dope!
286,"[0, 1, 0]",took acid become one,0,"Took some Acid "" become one with myself."
287,"[1, 1, 1]",in need drink blunt,1,in need of a drink and a blunt
288,"[0, 1, 1]",finna unwind smoke up,1,Finna unwind and smoke up
289,"[1, 1, 1]",NUMBER degrees outside how go smoke blunt,1,its 14 degrees outside how do i go smoke a blunt?
290,"[1, 1, 0]",let schmoke blunt,1,Let's schmoke a blunt
291,"[0, 0, 0]",quepasocela should still go dope,0,@quepasocela you should still go it's about to be dope!
292,"[1, 1, 1]",guess ll finish blunt,1,guess I'll finish this blunt by myself
293,"[0, 0, 0]",next tattoo dope af,0,My next tattoo is about to be dope af
294,"[0, 1, 1]",possible nice work out while smoking blunt,1,Is it possible to have a nice work out while smoking a blunt
295,"[1, 0, 0]",love emily blunt,0,Love me some emily blunt
296,"[0, 1, 1]",gonna weed bar wedding,1,im gonna have a weed bar at my wedding.
297,"[0, 0, 1]",ve never funnel cake in life let alone make hits blunt y all know funnel cake business really pancake in disguise,0,"I've never had funnel cake in my LIFE, let alone make it*hits blunt*   y'all know this funnel cake business is really a pancake in disguise?"
298,"[1, 1, 1]",just want g can smoke blunt,1,I just want a g so I can smoke a blunt
299,"[0, 0, 0]",double black diamond martini pineapple soaked in vodka URL,0,This is a Double Black Diamond Martini! Pineapple soaked in vodka  https://t.co/D27JeBSlrt
300,"[1, 1, 1]",youngscooter next time in ohio let smoke blunt,1,@youngscooter next time you in Ohio let's smoke a blunt
301,"[1, 1, 1]",want brownies cookies blunt,1,I want some brownies/cookies and a blunt
302,"[1, 1, 0]",zoekravitz in dope love life,1,@ZoeKravitz in dope is the love of my life
303,"[1, 1, 1]",subway blunt,1,Subway and a blunt
304,"[0, 1, 1]",all want make dope shit,1,All I want to do is make dope shit
305,"[1, 1, 1]",ready smoke another blunt,1,ready to smoke another blunt
306,"[1, 1, 1]",way much leaf on blunt,1,Way to much leaf on this blunt
307,"[1, 0, 1]",wants come smoke blunt w,1,Who wants to come smoke this blunt w me??
308,"[0, 0, 0]",brothers beautiful home looks dope in snow URL,0,My brothers beautiful home looks dope in the snow https://t.co/rEwvzoHYE5
309,"[0, 0, 1]",carminezozzora became dope hang pigs,0,"@CarmineZozzora  It became Dope "" 'Hang' (those 'pigs' ) !"
310,"[1, 1, 0]",ready smoke blunt lol,1,I'm ready to smoke a blunt lol
311,"[0, 1, 0]",someone smells like weed taking pregnancy test in steak shake bathroom love nwi,0,someone that smells like weed is taking a pregnancy test in a steak and shake bathroom i love nwi
312,"[1, 1, 1]",done took weed,1,She done took me weed
313,"[1, 1, 1]",just want burn blunt,1,""" I just want to burn a blunt"
314,"[1, 0, 0]",got blunt,0,Who got a blunt
315,"[0, 1, 0]",actually incenses just need blunt,0,I actually have incenses... I just need a blunt
316,"[1, 1, 1]",just like smoking dope,1,i just like smoking dope
